Reaction abbreviation,Reaction name,Reaction formula,Pathway,Lower bound (mmol/gdw/hr),Upper bound (mmol/gdw/hr),Gene-reaction-association,Conifdence score,Eco IDA,sbo Term,EC number,Notes,Reference,,
'RE3345X','RE3345','coa[x] + atp[x] + CE5343[x]  <=> amp[x] + ppi[x] + CE5342[x] ','Eicosanoid metabolism',-1000,1000,'(11001.1) or (2182.1) or (2181.1) or (2180.1) or (51703.1) or (23305.1)','0','',176,'6.2.1.3','IT - fixed proton','PMID:9784915',,
'RE3346C','RE3346','2 h[c] + nadh[c] + thcholstoic[c]  <=> h2o[c] + nad[c] + CE4872[c] ','Bile acid synthesis',-1000,1000,'(11001.1) or (2182.1) or (2181.1) or (2180.1) or (51703.1) or (23305.1)','0','',176,'1.2.1.3','','PMID:1591235',,
'RE3346M','RE3346','2 h[m] + nadh[m] + thcholstoic[m]  <=> h2o[m] + nad[m] + CE4872[m] ','Bile acid synthesis',-1000,1000,'(223.1) or (218.1)','0','',176,'1.2.1.3','','PMID:1591235',,
'RE3346R','RE3346','2 h[r] + nadh[r] + thcholstoic[r]  <=> h2o[r] + nad[r] + CE4872[r] ','Bile acid synthesis',-1000,1000,'(217.1) or (219.1) or (501.1)','0','',176,'1.2.1.3','','PMID:1591235',,
'RE3347C','RE3347','h[c] + nadh[c] + fad[c]  <=> nad[c] + fadh2[c] ','Vitamin B2 metabolism',-1000,1000,'(224.1) or (218.1)','0','',176,'1.5.1.29','','PMID:10620517',,
'RE3352C','RE3352','h2o[c] + C11821[c]  <=> co2[c] + alltn[c] ','Purine catabolism',-1000,1000,'','0','',176,'','',"'PMID:11342423,PMID:8248161'",,
'RE3367C','RE3367','h2o[c] + o2[c] + CE1939[c]  => h2o2[c] + nh4[c] + CE1943[c] ','Urea cycle',0,1000,'','0','',176,'1.4.3.6','',"'PMID:10047787,PMID:7040832'",,
'RE3367E','RE3367','h2o[e] + o2[e] + CE1939[e]  => nh4[e] + h2o2[e] + CE1943[e] ','Urea cycle',0,1000,'(8639.1)','0','',176,'1.4.3.6','',"'PMID:10047787,PMID:7040832'",,
'RE3367X','RE3367','o2[x] + h2o[x] + CE1939[x]  => h2o2[x] + nh4[x] + CE1943[x] ','Urea cycle',0,1000,'(26.1)','0','',176,'1.4.3.6','',"'PMID:10047787,PMID:7040832'",,
'RE3370C','RE3370','2 o2[c] + h[c] + 2 nadph[c] + CE7144[c]  => 3 h2o[c] + 2 nadp[c] + CE7145[c] ','Vitamin E metabolism',0,1000,'(26.1)','0','',176,'1.14.13.30','',"'PMID:10191290,PMID:11997390,PMID:12368403'",,
'RE3370R','RE3370','2 o2[r] + h[r] + 2 nadph[r] + CE7144[r]  => 3 h2o[r] + 2 nadp[r] + CE7145[r] ','Vitamin E metabolism',0,1000,'','0','',176,'1.14.13.30','',"'PMID:10191290,PMID:11997390,PMID:12368403'",,
'RE3372C','RE3372','dmpp[c] + frdp[c]  <=> ppi[c] + CE5956[c] ','Cholesterol metabolism',-1000,1000,'(8529.1) or (4051.1) or (126410.1)','0','',176,'2.5.1.10','',"'PMID:9054372,PMID:9741684'",,
'RE3378C','RE3378','h2o[c] + ak2lgchol_hs[c]  <=> chol[c] + C03968[c] ','Glycerophospholipid metabolism',-1000,1000,'','0','',176,'','','PMID:0',,
'RE3381C','RE3381','h2o[c] + CE5853[c]  <=> h[c] + glcur[c] + CE1925[c] ','Miscellaneous',-1000,1000,'','0','',176,'3.2.1.31','',"'PMID:10191290,PMID:10690708,PMID:11087858,PMID:11818531'",,
'RE3381E','RE3381','h2o[e] + CE5853[e]  <=> h[e] + glcur[e] + CE1925[e] ','Miscellaneous',-1000,1000,'(9365.1)','0','',176,'3.2.1.31','',"'PMID:10191290,PMID:10690708,PMID:11087858,PMID:11818531'",,
'RE3381L','RE3381','h2o[l] + CE5853[l]  <=> h[l] + glcur[l] + CE1925[l] ','Miscellaneous',-1000,1000,'(9365.1)','0','',176,'3.2.1.31','',"'PMID:10191290,PMID:10690708,PMID:11087858,PMID:11818531'",,
'RE3383M','RE3383','coa[m] + CE5307[m]  <=> accoa[m] + CE5316[m] ','Fatty acid oxidation',-1000,1000,'(2990.1)','0','',176,'2.3.1.16','','PMID:11356170',,
'RE3384M','RE3384','coa[m] + CE5309[m]  <=> accoa[m] + CE5313[m] ','Fatty acid oxidation',-1000,1000,'(10449.1) or (3032.1) or (3030.1)','0','',176,'2.3.1.16','','PMID:11356170',,
'RE3385M','RE3385','o2[m] + CE5316[m]  => h2o2[m] + CE5314[m] ','Fatty acid oxidation',0,1000,'(10449.1) or (3032.1) or (3030.1)','0','',176,'1.3.3.6','','PMID:11356170',,
'RE3386M','RE3386','h2o[m] + CE5315[m]  <=> CE5306[m] ','Fatty acid oxidation',-1000,1000,'(51.1)','0','',176,'4.2.1.17','','PMID:11356170',,
'RE3387M','RE3387','nad[m] + CE5306[m]  <=> h[m] + nadh[m] + CE5309[m] ','Fatty acid oxidation',-1000,1000,'(1892.1) or (3030.1) or (1962.1) or (3032.1)','0','',176,'1.1.1.35','','PMID:11356170',,
'RE3388M','RE3388','coa[m] + CE5308[m]  <=> accoa[m] + CE5310[m] ','Fatty acid oxidation',-1000,1000,'(3295.1) or (1962.1) or (3033.1) or (3028.1)','0','',176,'2.3.1.16','','PMID:11356170',,
'RE3389M','RE3389','o2[m] + CE5313[m]  => h2o2[m] + CE5311[m] ','Fatty acid oxidation',0,1000,'(10449.1) or (3032.1) or (3030.1)','0','',176,'1.3.3.6','','PMID:11356170',,
'RE3390M','RE3390','h2o[m] + CE5312[m]  <=> CE5305[m] ','Fatty acid oxidation',-1000,1000,'(51.1)','0','',176,'4.2.1.17','','PMID:11356170',,
'RE3391M','RE3391','h[m] + nadph[m] + CE5314[m]  <=> nadp[m] + CE5315[m] ','Fatty acid oxidation',-1000,1000,'(1892.1) or (3030.1) or (1962.1) or (3032.1)','0','',176,'1.3.1.34','','PMID:11356170',,
'RE3392M','RE3392','h[m] + nadph[m] + CE5311[m]  <=> nadp[m] + CE5312[m] ','Fatty acid oxidation',-1000,1000,'(1666.1)','0','',176,'1.3.1.34','','PMID:11356170',,
'RE3393M','RE3393','nad[m] + CE5305[m]  <=> h[m] + nadh[m] + CE5308[m] ','Fatty acid oxidation',-1000,1000,'(1666.1)','0','',176,'1.1.1.35','','PMID:11356170',,
'RE3394M','RE3394','coa[m] + CE5321[m]  <=> accoa[m] + CE5325[m] ','Fatty acid oxidation',-1000,1000,'(3295.1) or (1962.1) or (3033.1) or (3028.1)','0','',176,'2.3.1.16','','PMID:11356170',,
'RE3395M','RE3395','o2[m] + CE5325[m]  => h2o2[m] + CE5323[m] ','Fatty acid oxidation',0,1000,'(10449.1) or (3032.1) or (3030.1)','0','',176,'1.3.3.6','','PMID:11356170',,
'RE3396M','RE3396','coa[m] + CE5319[m]  <=> accoa[m] + CE5328[m] ','Fatty acid oxidation',-1000,1000,'(51.1)','0','',176,'2.3.1.16','','PMID:11356170',,
'RE3397M','RE3397','o2[m] + CE5328[m]  => h2o2[m] + CE5326[m] ','Fatty acid oxidation',0,1000,'(10449.1) or (3032.1) or (3030.1)','0','',176,'1.3.3.6','','PMID:11356170',,
'RE3398M','RE3398','h2o[m] + CE5327[m]  <=> CE5318[m] ','Fatty acid oxidation',-1000,1000,'(51.1)','0','',176,'4.2.1.17','','PMID:11356170',,
'RE3399M','RE3399','nad[m] + CE5318[m]  <=> h[m] + nadh[m] + CE5321[m] ','Fatty acid oxidation',-1000,1000,'(1892.1) or (3030.1) or (1962.1) or (3032.1)','0','',176,'1.1.1.35','','PMID:11356170',,
'RE3400M','RE3400','coa[m] + CE5320[m]  <=> accoa[m] + CE5322[m] ','Fatty acid oxidation',-1000,1000,'(3295.1) or (1962.1) or (3033.1) or (3028.1)','0','',176,'2.3.1.16','','PMID:11356170',,
'RE3401M','RE3401','h2o[m] + CE5324[m]  <=> CE5317[m] ','Fatty acid oxidation',-1000,1000,'(10449.1) or (3032.1) or (3030.1)','0','',176,'4.2.1.17','','PMID:11356170',,
'RE3402M','RE3402','nad[m] + CE5317[m]  <=> h[m] + nadh[m] + CE5320[m] ','Fatty acid oxidation',-1000,1000,'(1892.1) or (3030.1) or (1962.1) or (3032.1)','0','',176,'1.1.1.35','','PMID:11356170',,
'RE3403M','RE3403','h[m] + nadph[m] + CE5326[m]  <=> nadp[m] + CE5327[m] ','Fatty acid oxidation',-1000,1000,'(3295.1) or (1962.1) or (3033.1) or (3028.1)','0','',176,'1.3.1.34','','PMID:11356170',,
'RE3404M','RE3404','h[m] + nadph[m] + CE5323[m]  <=> nadp[m] + CE5324[m] ','Fatty acid oxidation',-1000,1000,'(1666.1)','0','',176,'1.3.1.34','','PMID:11356170',,
'RE3407C','RE3407','o2[c] + ascb_L[c] + CE5527[c]  => C01041[c] + CE5922[c] ','Linoleate metabolism',0,1000,'(1666.1)','0','',176,'','','PMID:11742529',,
'RE3408C','RE3408','h[c] + CE5528[c]  <=> CE2061[c] + CE5921[c] ','Linoleate metabolism',-1000,1000,'','0','',176,'','','PMID:11742529',,
'RE3409C','RE3409','o2[c] + lnlc[c]  => CE6415[c] ','Linoleate metabolism',0,1000,'','0','',176,'','','PMID:11686005',,
'RE3410C','RE3410','h[c] + CE6502[c]  <=> h2o[c] + CE5528[c] ','Linoleate metabolism',-1000,1000,'','0','',176,'','',"'PMID:11408659,PMID:11686005'",,
'RE3411C','RE3411','h2o[c] + C04717[c]  <=> CE2576[c] + C01601[c] ','Linoleate metabolism',-1000,1000,'','0','',176,'','',"'PMID:11408659,PMID:11686005'",,
'RE3412C','RE3412','o2[c] + CE6502[c]  => CE6504[c] ','Linoleate metabolism',0,1000,'','0','',176,'','',"'PMID:11408659,PMID:11686005'",,
'RE3413C','RE3413','CE2006[c]  <=> CE6506[c] ','Linoleate metabolism',-1000,1000,'','0','',176,'','',"'PMID:11408659,PMID:11686005'",,
'RE3414C','RE3414','CE5526[c]  <=> CE5898[c] + CE5920[c] ','Linoleate metabolism',-1000,1000,'','0','',176,'','','PMID:11742529',,
'RE3415C','RE3415','CE5526[c]  <=> CE5527[c] ','Linoleate metabolism',-1000,1000,'','0','',176,'','','PMID:11742529',,
'RE3417C','RE3417','CE6504[c]  <=> h[c] + CE6506[c] + C08261[c] ','Linoleate metabolism',-1000,1000,'','0','',176,'','',"'PMID:11408659,PMID:11686005'",,
'RE3420C','RE3420','CE6504[c]  <=> 3 h[c] + CE2577[c] + C08261[c] ','Linoleate metabolism',-1000,1000,'','0','',176,'','',"'PMID:11408659,PMID:11686005'",,
'RE3421M','RE3421','C05957[m]  <=> CE4876[m] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','',"'PMID:11786541,PMID:8521498'",,
'RE3421R','RE3421','C05957[r]  <=> CE4876[r] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','',"'PMID:11786541,PMID:8521498'",,
'RE3422C','RE3422','prostgd2[c]  <=> h2o[c] + CE5304[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','',"'PMID:11786541,PMID:8521498'",,
'RE3423C','RE3423','CE4876[c]  <=> h2o[c] + CE4877[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','',"'PMID:11786541,PMID:8521498'",,
'RE3430C','RE3430','h[c] + nadh[c] + CE4990[c]  <=> nad[c] + CE5944[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','',"'PMID:8244977,PMID:9862787'",,
'RE3430M','RE3430','h[m] + nadh[m] + CE4990[m]  <=> nad[m] + CE5944[m] ','Eicosanoid metabolism',-1000,1000,'(873.1)','0','',176,'','',"'PMID:8244977,PMID:9862787'",,
'RE3430X','RE3430','h[x] + nadh[x] + CE4990[x]  <=> nad[x] + CE5944[x] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','',"'PMID:8244977,PMID:9862787'",,
'RE3431C','RE3431','CE4987[c]  <=> CE4988[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','',"'PMID:8244977,PMID:9862787'",,
'RE3432C','RE3432','h[c] + nadph[c] + CE5944[c]  <=> nadp[c] + CE4987[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'1.1.1.184','',"'PMID:8244977,PMID:9862787'",,
'RE3432M','RE3432','h[m] + nadph[m] + CE5944[m]  <=> nadp[m] + CE4988[m] ','Eicosanoid metabolism',-1000,1000,'(874.1) or (873.1)','0','',176,'1.1.1.184','',"'PMID:8244977,PMID:9862787'",,
'RE3432X','RE3432','h[x] + nadph[x] + CE5944[x]  <=> nadp[x] + CE4988[x] ','Eicosanoid metabolism',-1000,1000,'(10901.1)','0','',176,'1.1.1.184','',"'PMID:8244977,PMID:9862787'",,
'RE3434C','RE3434','o2[c] + h[c] + nadph[c] + CE4988[c]  => h2o[c] + nadp[c] + CE4989[c] ','Eicosanoid metabolism',0,1000,'(10901.1)','0','',176,'1.14.13.30','',"'PMID:8244977,PMID:9862787'",,
'RE3434R','RE3434','o2[r] + h[r] + nadph[r] + CE4988[r]  => h2o[r] + nadp[r] + CE4989[r] ','Eicosanoid metabolism',0,1000,'','0','',176,'1.14.13.30','',"'PMID:8244977,PMID:9862787'",,
'RE3435C','RE3435','o2[c] + h[c] + nadph[c] + CE5945[c]  => h2o[c] + nadp[c] + CE5946[c] ','Eicosanoid metabolism',0,1000,'(8529.1) or (4051.1) or (126410.1)','0','',176,'1.14.13.30','',"'PMID:8244977,PMID:9862787'",,
'RE3435R','RE3435','o2[r] + h[r] + nadph[r] + CE5945[r]  => h2o[r] + nadp[r] + CE5946[r] ','Eicosanoid metabolism',0,1000,'','0','',176,'1.14.13.30','',"'PMID:8244977,PMID:9862787'",,
'RE3436C','RE3436','o2[c] + h[c] + nadph[c] + CE4989[c]  => h2o[c] + nadp[c] + CE5945[c] ','Eicosanoid metabolism',0,1000,'(8529.1) or (4051.1) or (126410.1)','0','',176,'1.14.13.30','',"'PMID:8244977,PMID:9862787'",,
'RE3436R','RE3436','o2[r] + h[r] + nadph[r] + CE4989[r]  => h2o[r] + nadp[r] + CE5945[r] ','Eicosanoid metabolism',0,1000,'','0','',176,'1.14.13.30','',"'PMID:8244977,PMID:9862787'",,
'RE3437C','RE3437','CE5946[c]  <=> h2o[c] + h[c] + CE5947[c] ','Eicosanoid metabolism',-1000,1000,'(8529.1) or (4051.1) or (126410.1)','0','',176,'','',"'PMID:8244977,PMID:9862787'",,
'RE3440C','RE3440','2 o2[c] + h[c] + 2 nadph[c] + CE7074[c]  => 3 h2o[c] + 2 nadp[c] + CE7072[c] ','Vitamin E metabolism',0,1000,'','0','',176,'1.14.13.30','',"'PMID:10191290,PMID:11997390,PMID:12368403'",,
'RE3440R','RE3440','2 o2[r] + h[r] + 2 nadph[r] + CE7074[r]  => 3 h2o[r] + 2 nadp[r] + CE7072[r] ','Vitamin E metabolism',0,1000,'','0','',176,'1.14.13.30','',"'PMID:10191290,PMID:11997390,PMID:12368403'",,
'RE3443M','RE3443','coa[m] + CE5966[m]  <=> accoa[m] + CE5967[m] ','Eicosanoid metabolism',-1000,1000,'(8529.1) or (4051.1) or (126410.1)','0','',176,'2.3.1.16','',"'PMID:11368003,PMID:9862787'",,
'RE3443X','RE3443','coa[x] + CE5966[x]  <=> accoa[x] + CE5967[x] ','Eicosanoid metabolism',-1000,1000,'(10449.1) or (3032.1) or (3030.1)','0','',176,'2.3.1.16','',"'PMID:11368003,PMID:9862787'",,
'RE3444C','RE3444','h2o[c] + CE5967[c]  <=> h[c] + coa[c] + CE5968[c] ','Eicosanoid metabolism',-1000,1000,'(30.1)','0','',176,'3.1.2.2','','PMID:11673457',,
'RE3444M','RE3444','h2o[m] + CE5967[m]  <=> h[m] + coa[m] + CE5968[m] ','Eicosanoid metabolism',-1000,1000,'(641372.1) or (641371.1) or (570.1)','0','',176,'3.1.2.2','IT - fixed proton','PMID:11673457',,
'RE3444X','RE3444','h2o[x] + CE5967[x]  <=> h[x] + coa[x] + CE5968[x] ','Eicosanoid metabolism',-1000,1000,'(10965.1) or (11332.1)','0','',176,'3.1.2.2','IT - fixed proton','PMID:11673457',,
'RE3445M','RE3445','o2[m] + CE5969[m]  => h2o2[m] + CE5970[m] ','Eicosanoid metabolism',0,1000,'(10005.1) or (122970.1) or (570.1)','0','',176,'1.3.3.6','',"'PMID:11368003,PMID:9862787'",,
'RE3445X','RE3445','o2[x] + CE5969[x]  => h2o2[x] + CE5970[x] ','Eicosanoid metabolism',0,1000,'(51.1)','0','',176,'1.3.3.6','',"'PMID:11368003,PMID:9862787'",,
'RE3446C','RE3446','atp[c] + coa[c] + CE4987[c]  <=> amp[c] + ppi[c] + CE5969[c] ','Eicosanoid metabolism',-1000,1000,'(8310.1) or (30.1) or (8309.1) or (51.1)','0','',176,'6.2.1.3','','PMID:9784915',,
'RE3446M','RE3446','coa[m] + atp[m] + CE4988[m]  <=> amp[m] + ppi[m] + CE5969[m] ','Eicosanoid metabolism',-1000,1000,'(23305.1)','0','',176,'6.2.1.3','IT - fixed proton','PMID:9784915',,
'RE3446R','RE3446','atp[r] + coa[r] + CE4988[r]  <=> amp[r] + ppi[r] + CE5969[r] ','Eicosanoid metabolism',-1000,1000,'(2182.1) or (2181.1) or (2180.1) or (51703.1) or (23305.1)','0','',176,'6.2.1.3','IT - fixed proton','PMID:9784915',,
'RE3446X','RE3446','coa[x] + atp[x] + CE4988[x]  <=> amp[x] + ppi[x] + CE5969[x] ','Eicosanoid metabolism',-1000,1000,'(11001.1) or (2182.1) or (2181.1) or (2180.1) or (51703.1) or (23305.1)','0','',176,'6.2.1.3','IT - fixed proton','PMID:9784915',,
'RE3447M','RE3447','h2o[m] + CE5970[m]  <=> CE5971[m] ','Eicosanoid metabolism',-1000,1000,'(11001.1) or (2182.1) or (2181.1) or (2180.1) or (51703.1) or (23305.1)','0','',176,'4.2.1.17','',"'PMID:11368003,PMID:9862787'",,
'RE3447X','RE3447','h2o[x] + CE5970[x]  <=> CE5971[x] ','Eicosanoid metabolism',-1000,1000,'(1892.1) or (3030.1) or (1962.1) or (3032.1)','0','',176,'4.2.1.17','',"'PMID:11368003,PMID:9862787'",,
'RE3448C','RE3448','nad[c] + CE5971[c]  <=> h[c] + nadh[c] + CE5966[c] ','Eicosanoid metabolism',-1000,1000,'(1962.1)','0','',176,'1.1.1.35','',"'PMID:11368003,PMID:9862787'",,
'RE3448M','RE3448','nad[m] + CE5971[m]  <=> h[m] + nadh[m] + CE5966[m] ','Eicosanoid metabolism',-1000,1000,'(3028.1)','0','',176,'1.1.1.35','',"'PMID:11368003,PMID:9862787'",,
'RE3448X','RE3448','nad[x] + CE5971[x]  <=> h[x] + nadh[x] + CE5966[x] ','Eicosanoid metabolism',-1000,1000,'(3295.1) or (1962.1) or (3033.1) or (3028.1)','0','',176,'1.1.1.35','',"'PMID:11368003,PMID:9862787'",,
'RE3449C','RE3449','5 h[c] + 3 arachd[c] + 5 o2s[c]  <=> 4 h2o[c] + 3 CE5535[c] ','Eicosanoid metabolism',-1000,1000,'(3295.1) or (1962.1)','0','',176,'','','PMID:2123555',,
'RE3450C','RE3450','2 ascb_L[c] + CE5534[c]  <=> h2o[c] + 2 dhdascb[c] + CE5828[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','','PMID:2123555',,
'RE3451C','RE3451','o2[c] + ascb_L[c] + CE5535[c]  => C01041[c] + CE5534[c] ','Eicosanoid metabolism',0,1000,'','0','',176,'','','PMID:2123555',,
'RE3452C','RE3452','5 h[c] + 3 arachd[c] + 5 o2s[c]  <=> 4 h2o[c] + 3 CE5925[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','','PMID:2123555',,
'RE3453C','RE3453','4 h[c] + CE5926[c]  <=> h2o[c] + CE5929[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','','PMID:2123555',,
'RE3454C','RE3454','o2[c] + ascb_L[c] + CE5925[c]  => C01041[c] + CE5926[c] ','Eicosanoid metabolism',0,1000,'','0','',176,'','','PMID:2123555',,
'RE3455C','RE3455','5 o2[c] + 4 arachd[c]  => 2 h2o[c] + 4 CE5928[c] ','Eicosanoid metabolism',0,1000,'','0','',176,'','','PMID:2123555',,
'RE3456C','RE3456','2 ascb_L[c] + CE5930[c]  <=> h2o[c] + 2 dhdascb[c] + CE5931[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','','PMID:2123555',,
'RE3457C','RE3457','o2[c] + ascb_L[c] + CE5928[c]  => C01041[c] + CE5930[c] ','Eicosanoid metabolism',0,1000,'','0','',176,'','','PMID:2123555',,
'RE3458C','RE3458','5 h[c] + 3 arachd[c] + 5 o2s[c]  <=> 4 h2o[c] + 3 CE5537[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','','PMID:2123555',,
'RE3459C','RE3459','4 h[c] + CE5533[c]  <=> h2o[c] + CE5924[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','','PMID:2123555',,
'RE3460C','RE3460','o2[c] + ascb_L[c] + CE5537[c]  => C01041[c] + CE5533[c] ','Eicosanoid metabolism',0,1000,'','0','',176,'','','PMID:2123555',,
'RE3464C','RE3464','o2[c] + h[c] + nadph[c] + avite2[c]  => h2o[c] + nadp[c] + CE7144[c] ','Vitamin E metabolism',0,1000,'','0','',176,'1.14.13.30','',"'PMID:10191290,PMID:11997390,PMID:12368403'",,
'RE3464R','RE3464','o2[r] + h[r] + nadph[r] + avite2[r]  => h2o[r] + nadp[r] + CE7144[r] ','Vitamin E metabolism',0,1000,'','0','',176,'1.14.13.30','',"'PMID:10191290,PMID:11997390,PMID:12368403'",,
'RE3469C','RE3469','CE7097[c]  <=> CE5178[c] ','Arachidonic acid metabolism',-1000,1000,'(8529.1) or (4051.1) or (126410.1)','0','',176,'','',"'PMID:1326548,PMID:7929234'",,
'RE3470C','RE3470','nadp[c] + leuktrB4[c]  <=> h[c] + nadph[c] + CE7097[c] ','Arachidonic acid metabolism',-1000,1000,'','0','',176,'1.1.1.184','',"'PMID:1326548,PMID:7929234'",,
'RE3470M','RE3470','nadp[m] + leuktrB4[m]  <=> h[m] + nadph[m] + CE7097[m] ','Arachidonic acid metabolism',-1000,1000,'(874.1) or (873.1)','0','',176,'1.1.1.184','',"'PMID:1326548,PMID:7929234'",,
'RE3470X','RE3470','nadp[x] + leuktrB4[x]  <=> h[x] + nadph[x] + CE7097[x] ','Arachidonic acid metabolism',-1000,1000,'(10901.1)','0','',176,'1.1.1.184','',"'PMID:1326548,PMID:7929234'",,
'RE3474C','RE3474','o2[c] + h[c] + nadph[c] + C04805[c]  => h2o[c] + nadp[c] + CE5815[c] ','Arachidonic acid metabolism',0,1000,'(10901.1)','0','',176,'1.14.13.30','',"'PMID:1326548,PMID:7929234'",,
'RE3474R','RE3474','o2[r] + h[r] + nadph[r] + C04805[r]  => h2o[r] + nadp[r] + CE5815[r] ','Arachidonic acid metabolism',0,1000,'','0','',176,'1.14.13.30','',"'PMID:1326548,PMID:7929234'",,
'RE3475C','RE3475','o2[c] + 2 C04805[c]  => 2 CE7096[c] ','Arachidonic acid metabolism',0,1000,'(8529.1) or (4051.1) or (126410.1)','0','',176,'1.13.11.34','',"'PMID:1326548,PMID:7929234'",,
'RE3475N','RE3475','o2[n] + 2 C04805[n]  => 2 CE7096[n] ','Arachidonic acid metabolism',0,1000,'','0','',176,'1.13.11.34','',"'PMID:1326548,PMID:7929234'",,
'RE3476C','RE3476','nadp[c] + C04805[c]  <=> h[c] + nadph[c] + CE2084[c] ','Arachidonic acid metabolism',-1000,1000,'(240.1)','0','',176,'1.1.1.184','',"'PMID:1326548,PMID:7929234'",,
'RE3476M','RE3476','nadp[m] + C04805[m]  <=> h[m] + nadph[m] + CE2084[m] ','Arachidonic acid metabolism',-1000,1000,'(874.1) or (873.1)','0','',176,'1.1.1.184','',"'PMID:1326548,PMID:7929234'",,
'RE3476X','RE3476','nadp[x] + C04805[x]  <=> h[x] + nadph[x] + CE2084[x] ','Arachidonic acid metabolism',-1000,1000,'(10901.1)','0','',176,'1.1.1.184','',"'PMID:1326548,PMID:7929234'",,
'RE3477C','RE3477','h2o[r] + txa2[r]  <=> h2[c] + CE1447[c] ','Eicosanoid metabolism',-1000,1000,'(10901.1)','0','',185,'','',"'PMID:3461463,PMID:3755252'",,
'RE3485C','RE3485','o2[c] + CE2540[c]  => CE6508[c] ','Eicosanoid metabolism',0,1000,'','0','',176,'1.13.11.34','','PMID:10617998',,
'RE3485N','RE3485','o2[n] + CE2540[n]  => CE6508[n] ','Eicosanoid metabolism',0,1000,'','0','',176,'1.13.11.34','','PMID:10617998',,
'RE3486C','RE3486','CE6508[c]  <=> h2o[c] + CE7079[c] ','Eicosanoid metabolism',-1000,1000,'(240.1)','0','',176,'','','PMID:8847485',,
'RE3488C','RE3488','o2[c] + CE2540[c]  => CE7091[c] ','Eicosanoid metabolism',0,1000,'','0','',176,'1.14.99.1','','PMID:11034610',,
'RE3488N','RE3488','o2[n] + CE2540[n]  => CE7091[n] ','Eicosanoid metabolism',0,1000,'','0','',176,'1.14.99.1','','PMID:11034610',,
'RE3488R','RE3488','o2[r] + CE2540[r]  => CE7091[r] ','Eicosanoid metabolism',0,1000,'(5742.1) or (5743.1)','0','',176,'1.14.99.1','','PMID:11034610',,
'RE3488X','RE3488','o2[x] + CE2540[x]  => CE7091[x] ','Eicosanoid metabolism',0,1000,'(5742.1) or (5743.1)','0','',176,'1.14.99.1','','PMID:11034610',,
'RE3490C','RE3490','2 h[c] + CE7080[c]  <=> h2o[c] + CE7082[c] ','Eicosanoid metabolism',-1000,1000,'(8309.1)','0','',176,'','','PMID:11034610',,
'RE3491C','RE3491','h2o[c] + CE7079[c]  <=> CE7083[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'3.3.2.6','',"'PMID:6096400,PMID:6330066'",,
'RE3492C','RE3492','h2o[c] + CE7079[c]  <=> CE7084[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','','PMID:8847485',,
'RE3493C','RE3493','2 h[c] + CE6508[c]  <=> h2o[c] + CE7085[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','','PMID:6330066',,
'RE3494C','RE3494','h2o[c] + CE7086[c]  <=> glu_L[c] + CE7087[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'2.3.2.2','',"'PMID:6096400,PMID:6330066'",,
'RE3495C','RE3495','gthrd[c] + CE7079[c]  <=> CE7086[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'4.4.1.20','',"'PMID:6096400,PMID:6330066'",,
'RE3496C','RE3496','CE7088[c]  <=> HC02213[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'5.3.99.3','','PMID:12234478',,
'RE3496N','RE3496','CE7088[n]  <=> C06439[n] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'5.3.99.3','','PMID:12234478',,
'RE3498N','RE3498','o2[n] + CE7081[n]  => h2o[n] + CE7109[n] ','Eicosanoid metabolism',0,1000,'(10728.1)','0','',176,'1.13.11.34','','PMID:11034610',,
'RE3498R','RE3498','o2[r] + CE7081[r]  => h2o[r] + CE7109[r] ','Eicosanoid metabolism',0,1000,'(240.1)','0','',176,'1.13.11.34','','PMID:11034610',,
'RE3499C','RE3499','h2o[c] + CE7110[c]  <=> CE7114[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'','','PMID:11034610',,
'RE3500C','RE3500','h2o[c] + CE7109[c]  <=> CE7113[c] ','Eicosanoid metabolism',-1000,1000,'','0','',176,'3.3.2.9','','PMID:11034610',,
'RE3500R','RE3500','h2o[r] + CE7109[r]  <=> CE7113[r] ','Eicosanoid metabolism',-1000,1000,'(2053.1)','0','',176,'3.3.2.9','','PMID:11034610',,
